,component,cui,name
2392,diabetes mellitus,S-424736006,Peripheral neuropathy co-occurrent and due to diabetes mellitus (disorder)
2393,diabetes mellitus,S-230572002,Neuropathy co-occurrent and due to diabetes mellitus (disorder)
2394,diabetes mellitus,S-43959009,Cataract co-occurrent and due to diabetes mellitus (disorder)
2395,diabetes mellitus,S-312904009,Moderate nonproliferative retinopathy co-occurrent and due to diabetes mellitus (disorder)
2396,diabetes mellitus,S-49817004,Neonatal diabetes mellitus (disorder)
2397,diabetes mellitus,S-768799003,Iritis of bilateral eyes co-occurrent and due to diabetes mellitus (disorder)
2398,diabetes mellitus,S-39181008,Radiculoplexus neuropathy co-occurrent and due to diabetes mellitus (disorder)
2399,diabetes mellitus,S-368581000119106,Neuropathy due to type 2 diabetes mellitus (disorder)
2400,diabetes mellitus,S-314011005,Focal exudative maculopathy co-occurrent and due to diabetes mellitus (disorder)
2401,diabetes mellitus,S-237613005,Hyperproinsulinemia (disorder)
2402,diabetes mellitus,S-237600004,Malnutrition-related diabetes mellitus - fibrocalculous (disorder)
2403,diabetes mellitus,S-199227004,Diabetes mellitus during pregnancy - baby not yet delivered (disorder)
2404,diabetes mellitus,S-82541000119100,Traction retinal detachment co-occurrent and due to type 2 diabetes mellitus (disorder)
2405,diabetes mellitus,S-769191001,Very severe nonproliferative retinopathy of left eye co-occurrent and due to diabetes mellitus (disorder)
2406,diabetes mellitus,S-769245002,Disorder of left macula co-occurrent and due to diabetes mellitus (disorder)
2407,diabetes mellitus,S-199223000,"Diabetes mellitus during pregnancy, childbirth and the puerperium (disorder)"
2408,diabetes mellitus,S-769221001,Clinically significant macular edema of right eye co-occurrent and due to diabetes mellitus (disorder)
2409,diabetes mellitus,S-609576002,"Maturity-onset diabetes of the young, type 9 (disorder)"
2410,diabetes mellitus,S-769219006,Macular edema co-occurrent and due to type 1 diabetes mellitus (disorder)
2411,diabetes mellitus,S-26298008,Diabetic coma with ketoacidosis (disorder)
2412,diabetes mellitus,S-1551000119108,Nonproliferative retinopathy co-occurrent and due to type 2 diabetes mellitus (disorder)
2413,diabetes mellitus,S-2751001,Fibrocalculous pancreatic diabetes (disorder)
2414,diabetes mellitus,S-401110002,Type 1 diabetes mellitus with persistent microalbuminuria (disorder)
2415,diabetes mellitus,S-11687002,Gestational diabetes mellitus (disorder)
2416,diabetes mellitus,S-193141005,Mononeuritis multiplex co-occurrent and due to diabetes mellitus (disorder)
2417,diabetes mellitus,S-33559001,Pineal hyperplasia AND diabetes mellitus syndrome (disorder)
2418,diabetes mellitus,S-385041000000108,Diabetes mellitus with multiple complications (disorder)
2419,diabetes mellitus,S-399863006,Very severe nonproliferative retinopathy without macular edema co-occurrent and due to diabetes mellitus (disorder)
2420,diabetes mellitus,S-609562003,"Maturity onset diabetes of the young, type 1 (disorder)"
2421,diabetes mellitus,S-63510008,Nodular type diabetic glomerulosclerosis (disorder)
2422,diabetes mellitus,S-199226008,Diabetes mellitus in the puerperium - baby delivered during current episode of care (disorder)
2423,diabetes mellitus,S-421966007,Non-ketotic non-hyperosmolar coma associated with diabetes mellitus (disorder)
2424,diabetes mellitus,S-238981002,Disorder of soft tissue co-occurrent and due to diabetes mellitus (disorder)
2425,diabetes mellitus,S-1531000119102,Diabetic dermopathy associated with diabetes mellitus type 2 (disorder)
2426,diabetes mellitus,S-82551000119103,Rubeosis iridis co-occurrent and due to type 2 diabetes mellitus (disorder)
2427,diabetes mellitus,S-157141000119108,Proteinuria due to type 2 diabetes mellitus (disorder)
2428,diabetes mellitus,S-716362006,Gingival disease co-occurrent with diabetes mellitus (disorder)
2429,diabetes mellitus,S-399871005,Visually threatening diabetic retinopathy (disorder)
2430,diabetes mellitus,S-768797001,Iritis of right eye co-occurrent and due to diabetes mellitus (disorder)
2431,diabetes mellitus,S-90781000119102,Microalbuminuria due to type 2 diabetes mellitus (disorder)
2432,diabetes mellitus,S-713704004,Gastroparesis co-occurrent and due to diabetes mellitus (disorder)
2433,diabetes mellitus,S-713457002,Neovascular glaucoma co-occurrent and due to diabetes mellitus (disorder)
2434,diabetes mellitus,S-408540003,Diabetes mellitus caused by non-steroid drugs (disorder)
2435,diabetes mellitus,S-230575000,Chronic painful polyneuropathy co-occurrent and due to diabetes mellitus (disorder)
2436,diabetes mellitus,S-609566000,Pregnancy and type 1 diabetes mellitus (disorder)
2437,diabetes mellitus,S-237618001,Insulin-dependent diabetes mellitus secretory diarrhea syndrome (disorder)
2438,diabetes mellitus,S-237651005,Insulin resistance - type A (disorder)
2439,diabetes mellitus,S-51002006,Diabetes mellitus associated with pancreatic disease (disorder)
2440,diabetes mellitus,S-399877009,Very severe nonproliferative retinopathy with clinically significant macular edema co-occurrent and due to diabetes mellitus (disorder)
2441,diabetes mellitus,S-426875007,Latent autoimmune diabetes mellitus in adult (disorder)
2442,diabetes mellitus,S-199230006,Pre-existing type 2 diabetes mellitus (disorder)
2443,diabetes mellitus,S-425455002,Diabetic glomerulonephritis (disorder)
2444,diabetes mellitus,S-335621000000101,Maternally inherited diabetes mellitus (disorder)
2445,diabetes mellitus,S-5969009,Diabetes mellitus associated with genetic syndrome (disorder)
2446,diabetes mellitus,S-770098001,Cranial nerve palsy co-occurrent and due to type 1 diabetes mellitus (disorder)
2447,diabetes mellitus,S-399869005,High risk proliferative diabetic retinopathy not amenable to photocoagulation (disorder)
2448,diabetes mellitus,S-720519003,"Atherosclerosis, deafness, diabetes, epilepsy, nephropathy syndrome (disorder)"
2449,diabetes mellitus,S-72021000119109,Diabetic dermopathy due to type 1 diabetes mellitus (disorder)
2450,diabetes mellitus,S-104961000119108,Retinal ischemia co-occurrent and due to type 2 diabetes mellitus (disorder)
2451,diabetes mellitus,S-420715001,Persistent microalbuminuria associated with type II diabetes mellitus (disorder)
2452,diabetes mellitus,S-1481000119100,Diabetes mellitus type 2 without retinopathy (disorder)
2453,diabetes mellitus,S-417677008,On examination - sight threatening diabetic retinopathy (disorder)
2454,diabetes mellitus,S-421305000,Persistent microalbuminuria associated with type I diabetes mellitus (disorder)
2455,diabetes mellitus,S-237599002,Insulin treated type 2 diabetes mellitus (disorder)
2456,diabetes mellitus,S-769182000,Preproliferative retinopathy of left eye co-occurrent and due to diabetes mellitus (disorder)
2457,diabetes mellitus,S-49455004,Polyneuropathy co-occurrent and due to diabetes mellitus (disorder)
2458,diabetes mellitus,S-190416008,Steroid-induced diabetes mellitus without complication (disorder)
2459,diabetes mellitus,S-243421000119104,Proteinuria due to type 1 diabetes mellitus (disorder)
2460,diabetes mellitus,S-127013003,Disorder of kidney co-occurrent and due to diabetes mellitus (disorder)
2461,diabetes mellitus,S-232022001,Proliferative diabetic retinopathy with new vessels elsewhere than on disc (disorder)
2462,diabetes mellitus,S-421256007,Ophthalmic complication of malnutrition-related diabetes mellitus (disorder)
2463,diabetes mellitus,S-40801000119106,Gestational diabetes mellitus complicating pregnancy (disorder)
2464,diabetes mellitus,S-421847006,Ketoacidotic coma in type II diabetes mellitus (disorder)
2465,diabetes mellitus,S-707221002,Diabetic glomerulosclerosis (disorder)
2466,diabetes mellitus,S-703136005,Diabetes mellitus in remission (disorder)
2467,diabetes mellitus,S-314903002,Type II diabetes mellitus with arthropathy (disorder)
2468,diabetes mellitus,S-10754881000119104,Diabetes mellitus in mother complicating childbirth (disorder)
2469,diabetes mellitus,S-769218003,Macular edema of left eye co-occurrent and due to diabetes mellitus (disorder)
2470,diabetes mellitus,S-106281000119103,Pre-existing diabetes mellitus in mother complicating childbirth (disorder)
2471,diabetes mellitus,S-421895002,Peripheral vascular disorder co-occurrent and due to diabetes mellitus (disorder)
2472,diabetes mellitus,S-769187006,Severe nonproliferative retinopathy of right eye co-occurrent and due to diabetes mellitus (disorder)
2473,diabetes mellitus,S-408414006,On examination - left eye proliferative diabetic retinopathy (disorder)
2474,diabetes mellitus,S-530558861000132104,Atypical diabetes mellitus (disorder)
2475,diabetes mellitus,S-232023006,Traction retinal detachment co-occurrent and due to diabetes mellitus (disorder)
2476,diabetes mellitus,S-39127005,Symmetric proximal motor neuropathy co-occurrent and due to diabetes mellitus (disorder)
2477,diabetes mellitus,S-762489000,Acute complication co-occurrent and due to diabetes mellitus (disorder)
2478,diabetes mellitus,S-609573005,"Maturity-onset diabetes of the young, type 6 (disorder)"
2479,diabetes mellitus,S-770096002,Erectile dysfunction co-occurrent and due to diabetes mellitus (disorder)
2480,diabetes mellitus,S-73211009,Diabetes mellitus (disorder)
2481,diabetes mellitus,S-75524006,Malnutrition related diabetes mellitus (disorder)
2482,diabetes mellitus,S-422034002,Retinopathy co-occurrent and due to type 2 diabetes mellitus (disorder)
2483,diabetes mellitus,S-31321000119102,Diabetes mellitus type 1 without retinopathy (disorder)
2484,diabetes mellitus,S-60971000119101,Proliferative retinopathy due to type 1 diabetes mellitus (disorder)
2485,diabetes mellitus,S-60961000119107,Nonproliferative retinopathy co-occurrent and due to type 1 diabetes mellitus (disorder)
2486,diabetes mellitus,S-238982009,Diabetic dermopathy (disorder)
2487,diabetes mellitus,S-399874002,Proliferative diabetic retinopathy - high risk with clinically significant macular edema (disorder)
2488,diabetes mellitus,S-60991000119100,Blindness co-occurrent and due to type 1 diabetes mellitus (disorder)
2489,diabetes mellitus,S-427089005,Diabetes mellitus due to cystic fibrosis (disorder)
2490,diabetes mellitus,S-769217008,Macular edema of right eye co-occurrent and due to diabetes mellitus (disorder)
2491,diabetes mellitus,S-414894003,On examination - left eye stable treated proliferative diabetic retinopathy (disorder)
2492,diabetes mellitus,S-230574001,Acute painful polyneuropathy co-occurrent and due to diabetes mellitus (disorder)
2493,diabetes mellitus,S-709147009,Gingivitis co-occurrent with diabetes mellitus (disorder)
2494,diabetes mellitus,S-421920002,Cataract co-occurrent and due to diabetes mellitus type 1 (disorder)
2495,diabetes mellitus,S-199225007,Diabetes mellitus during pregnancy - baby delivered (disorder)
2496,diabetes mellitus,S-609567009,Pre-existing type 2 diabetes mellitus in pregnancy (disorder)
2497,diabetes mellitus,S-735537007,Hyperosmolar hyperglycemic coma due to diabetes mellitus without ketoacidosis (disorder)
2498,diabetes mellitus,S-9859006,Type 2 diabetes mellitus with acanthosis nigricans (disorder)
2499,diabetes mellitus,S-310387003,Diabetic intracapillary glomerulosclerosis (disorder)
2500,diabetes mellitus,S-609579009,"Diabetes mellitus, transient neonatal 1 (disorder)"
2501,diabetes mellitus,S-76751001,"Diabetes mellitus in mother complicating pregnancy, childbirth AND/OR puerperium (disorder)"
2502,diabetes mellitus,S-10753491000119101,Gestational diabetes mellitus in childbirth (disorder)
2503,diabetes mellitus,S-193184006,Chronic painful diabetic neuropathy (disorder)
2504,diabetes mellitus,S-311366001,Kimmelstiel-Wilson syndrome (disorder)
2505,diabetes mellitus,S-127012008,Lipoatrophic diabetes (disorder)
2506,diabetes mellitus,S-23045005,Insulin dependent diabetes mellitus type IA (disorder)
2507,diabetes mellitus,S-399868002,Diabetic intraretinal microvascular anomaly (disorder)
2508,diabetes mellitus,S-390834004,Nonproliferative retinopathy co-occurrent and due to diabetes mellitus (disorder)
2509,diabetes mellitus,S-713706002,Polyneuropathy co-occurrent and due to type 2 diabetes mellitus (disorder)
2510,diabetes mellitus,S-104941000119109,Retinal ischemia co-occurrent and due to type 1 diabetes mellitus (disorder)
2511,diabetes mellitus,S-420514000,Persistent proteinuria associated with type I diabetes mellitus (disorder)
2512,diabetes mellitus,S-39058009,Lumbosacral radiculoplexus neuropathy co-occurrent and due to diabetes mellitus (disorder)
2513,diabetes mellitus,S-609572000,"Maturity-onset diabetes of the young, type 5 (disorder)"
2514,diabetes mellitus,S-408539000,Insulin autoimmune syndrome (disorder)
2515,diabetes mellitus,S-1102351000000105,Ketosis-prone diabetes mellitus (disorder)
